country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,16.2,16.2,16.1,16.1,15.9,15.8,15.8,15.8,15.8,18.7,18.7,18.7,18.8,18.8,23.7,23,22.6,21.4,21.4,21.7,25.5,25.5,25.8,25.8,26.3,29.5,29.5,30.7,30.7,30.9,34,34,34.2,34.2,37,37.1,37.2,39.2,39.1,39.6,39.6,41.3,41.3,41.7,42
Angola,15.4,15.4,16.3,16.3,16.3,17.1,16.3,16.3,16.3,16.3,16.3,15.3,15.3,15.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16,16,16,22.8,22.8,22.8,23.1,24.1,27.4,28.2,28.3,30.8,31.7,31.9,34.9,35,36.9,37.6,37.5,39.5,39.5,39.7,40.4,42.5
Albania,45.1,47.7,48.1,47.7,47.2,49.5,50,49.7,50.6,50.7,51.5,53.3,52.8,53,54.7,55,54,54,54.4,56.8,56.8,57.6,57.3,59.5,60.1,60.2,60.3,63,62.7,62.9,63,65.4,65.4,67.8,68,68.1,71.3,71.3,71.3,71.5,74.9,75,75,75.5,75.6
United Arab Emirates,43.2,46.2,46.2,48.7,49.4,51.9,52,55.1,55.2,57.4,58.2,58.2,58.4,61.1,61.1,61.1,63,64,64.4,64.5,64.4,67.4,67.4,67.4,67.5,67.6,68.5,68.5,68.6,71.5,72.7,72.7,72.8,72.8,72.9,72.9,73,73.8,76.6,77,77.2,77,77,77,77.2
Argentina,45.8,47.7,47.7,49.7,50.4,52.7,52.7,52.7,55.6,56.3,56.5,56.5,56.8,56.7,57.4,58.9,59,59.1,59.2,59.9,59.9,62,62.1,62.3,62.4,63,65,64.7,64.7,64.9,65.7,65.6,65.9,67.9,68.1,68.1,68.8,68.8,69,71.3,71.5,71.5,71.6,71.4,74.6
Armenia,,,,,,,,,,,,,,,,,50.5,50.4,52.7,52.7,52.8,53.8,53.8,56.9,56.9,57.7,57.7,60,60.9,61,61.2,63.2,63.4,63.4,63.4,65.2,65.9,66,66,68.3,69.1,69.1,69.1,71.3,71.3
Australia,64.3,66.4,66.4,67.1,67.1,69.7,70.4,70.4,70.6,71.5,71.6,71.5,71.5,73.9,75.1,75.1,75.1,78,77.9,77.9,78.3,79.4,79.4,79.3,79.3,79.3,83,83.6,85.2,85.2,85.2,85.4,85.4,85.4,86.1,86.2,86.2,86.2,90.5,90.8,90.3,90.7,90.3,90.3,90.2
Austria,61.3,62,64.1,64.4,64.4,67.1,67.1,67.1,67.1,67.9,70.2,70.3,71,71,73.5,74.5,74.6,74.6,77.4,77.6,78.5,78.6,82.2,82.5,82.5,84.1,84.1,84.1,84.1,84.5,84.5,84.5,84.5,86.3,86.3,86.9,93.2,93.2,93.2,93.2,93.2,93.2,92,98.3,99.2
Azerbaijan,,,,,,,,,,,,,,,,,40.2,39.9,38.4,38.2,38.2,39,38.4,40.9,41.1,40.8,43.1,43.3,46.4,46.5,46.7,50,50,52.6,53.3,53.3,56,56.7,56.8,59.2,59.2,59.7,62.1,62.2,62.2
Burundi,12.2,12.2,18.1,18.1,18.1,18.1,18.1,23,23,23,26.2,26.2,26.2,26.5,26.5,26.7,26.7,23.5,23.6,24,24,27.1,27.3,27.3,27.3,27.4,28.5,30.9,30.9,30.9,34,34,33.8,36.6,36.8,39,39.6,39.6,41.6,41.6,41.6,44.3,44.1,44.2,44.8
Belgium,63.9,63.9,64.5,66.9,66.9,67.1,67.7,67.8,70.3,70.6,71.2,71.3,71.3,72.2,74.8,74.8,74.9,74.9,74.9,79.3,79.3,79.3,79.3,79.3,83,83.4,83.4,85,85,85,85,85.6,85.6,85.6,85.6,85.6,94.6,94.6,97.3,97.3,97.3,97.3,97.3,94.8,94.8
Benin,12.7,12.7,12.7,17.5,18.1,17.5,21.7,21.7,21.7,22,23.2,23.6,23.4,23.6,24.8,28.1,28.4,28.3,28.3,28.4,28.4,28.5,30.9,31.1,31.1,31.8,31.9,32.2,32,34.3,34.6,34.8,35.5,35.5,35.5,35.5,35.6,37.7,37.8,38.1,38.7,38.7,38.7,38.8,41
Burkina Faso,12.7,12.7,20.2,20.2,20.2,21.7,21.7,21.7,21.7,21.7,25.2,25.6,25.4,25.4,25.6,26.1,25.7,25.8,25.8,25.9,25.9,25.9,26.8,26.8,29.5,29.2,29.3,29.4,29.5,29.5,30.3,32.7,32.8,33.6,35.7,35.8,35.7,36.5,38.6,38.7,38.7,38.8,41.5,41.7,41.7
