country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,30.6,30.6,30.6,21.3,18.4,18.4,20.6,20.1,20.6,20.6,20.6,20.6,20.6,20.1,20.1,18.7,18,19.2,17.4,17.4,17.4,11.5,7.67,5.95,7.67,5.95,11.4,45,46.6,46.1,46.3,46.9,47.8,47.8,47.8,48.4,49,49,46.6,46.6,46.6,43.4,44.5,48.6,41.7
Angola,16,16.5,16.5,16.5,16.5,16.5,16.4,16.4,16.4,16.4,16.4,17.6,17.6,17.6,17.6,21.7,23.4,30.1,30.7,29.8,28.2,29.8,29.8,29.8,29.8,29.8,30.9,34.4,37.9,38.4,41.3,42.5,41.3,41.5,42.1,41.5,42.1,42.1,41.6,41.6,41.6,41.6,41.8,46.1,48.2
Albania,0.142,0.142,0.142,0.142,0.142,0.142,0,0,0,3.33,0,0,3.33,0,0,18.6,54.5,59.1,56.7,56.7,59.2,58.9,60.5,61.1,61.9,63.6,61.9,62.4,62.4,62.4,63.2,62.8,63.4,64.1,63.4,64.4,64.4,64.4,56.5,56.9,56.9,56.9,61.4,54.7,53
United Arab Emirates,29.3,31.6,34.3,34.3,34.3,32.4,33.1,33.1,33.1,32.3,34.5,34.5,35.9,35.9,34.8,35.9,36.7,36.7,36.7,34.2,35,35.7,35,37,37,36.2,37,33.3,32.6,31.5,32.2,33.1,33.1,33.8,33.8,35.2,31.6,33.1,33.4,34.4,35.6,33.8,29.4,30.3,28.9
Argentina,46.3,21.2,9.83,9.83,9.83,9.83,10.9,14.9,29.6,75.2,76,76,76,76.7,76.4,75.9,76.9,75,74.1,74.6,75.8,74.5,74.5,74.5,74.5,76.8,76.8,76.6,74.1,75.4,75.5,75.5,74.3,73.3,72.6,72.3,72.3,72.3,71.9,72.6,71.7,78.7,77.1,75.9,71.4
Armenia,,,,,,,,,,,,,,,,,59.5,59.4,58.9,55,54.7,54.2,56.1,54.9,55.3,54.6,54.6,54.6,54.6,52.5,52.5,52.5,51.7,48.1,51.1,53.4,53.9,53.9,52.3,53,51.7,52.4,52,59.2,65.8
Australia,84.6,83.4,83.4,83.4,83.4,83.6,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,84.8,84.8,84.8,82.4,84,84.8,84.8,84.8,84.8,84.8,84.8,84.8,82.6,82.6,82.6,82.6,82.6,82.6,80.8,82.6,82.6,82.6,82.6,79.7,79.7,84.2,84.2,74.3,73.9,74
Austria,77.5,82.2,82.2,82.2,82.2,82.2,82.6,81.6,81.6,82.6,82.6,82.6,82.6,82.6,81.6,83.8,83.8,83.8,82.2,82.2,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,79.5,81.3,81.3,78.3,78.3,78.3,80,80,75.7,76.3
Azerbaijan,,,,,,,,,,,,,,,,,39.4,48.3,43.1,37.5,37.5,37.5,38.5,39.8,39.8,38.5,39.8,38.5,38.1,36.8,36.4,36.4,36.4,35.4,34.6,34.6,35.5,35.5,32.8,32.4,31.7,32.6,32.8,31.6,35.1
Burundi,29.1,27.8,28,28,29.8,31.3,30.9,32,32,30.9,30.9,32,37.8,38.8,39.9,39.9,39.9,49.7,50.1,49.8,49.8,47.5,46.2,45.2,44.3,44.3,45.5,45.5,46.7,47.6,47,46.6,46.2,46,45.6,43,45.4,45.4,40.1,38.6,25.6,18.9,16.1,16.9,18.2
