country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,405M,488M,596M,695M,765M,872M,958M,1.08B,1.25B,1.32B,1.38B,1.53B,1.67B,1.72B,1.87B,1.92B,1.94B,2.02B,2.23B,2.33B,2.42B,2.62B,2.75B,2.5B,2.39B,2.55B,2.53B,2.73B,2.79B,2.96B,2.98B,3.09B,3.2B,,
Afghanistan,538M,549M,547M,751M,800M,1.01B,1.4B,1.67B,1.37B,1.41B,1.75B,1.83B,1.6B,1.73B,2.16B,2.37B,2.56B,2.95B,3.3B,3.7B,3.64B,3.48B,,,,,,,,,,,,,,,,,,,,,4.06B,4.52B,5.23B,6.21B,6.97B,9.75B,10.1B,12.4B,15.9B,17.8B,19.9B,20.1B,20.5B,19.1B,18.1B,18.8B,18.1B,18.8B,20.1B
Angola,,,,,,,,,,,,,,,,,,,,,5.93B,5.55B,5.55B,5.78B,6.13B,7.55B,7.07B,8.08B,8.77B,10.2B,11.2B,10.6B,8.31B,5.77B,4.44B,5.54B,7.53B,7.65B,6.51B,6.15B,9.13B,8.94B,15.3B,17.8B,23.6B,37B,52.4B,65.3B,88.5B,70.3B,83.8B,112B,128B,137B,146B,116B,101B,122B,101B,89.4B,58.4B
Albania,,,,,,,,,,,,,,,,,,,,,,,,,1.86B,1.9B,2.1B,2.08B,2.05B,2.25B,2.03B,1.1B,652M,1.19B,1.88B,2.39B,3.2B,2.26B,2.55B,3.21B,3.48B,3.92B,4.35B,5.61B,7.18B,8.05B,8.9B,10.7B,12.9B,12B,11.9B,12.9B,12.3B,12.8B,13.2B,11.4B,11.9B,13B,15.2B,15.4B,14.9B
Andorra,,,,,,,,,,,78.6M,89.4M,113M,151M,187M,220M,227M,254M,308M,412M,446M,389M,376M,328M,330M,347M,482M,611M,721M,795M,1.03B,1.11B,1.21B,1.01B,1.02B,1.18B,1.22B,1.18B,1.21B,1.24B,1.43B,1.55B,1.76B,2.36B,2.89B,3.16B,3.46B,3.95B,4.09B,3.67B,3.45B,3.63B,3.19B,3.19B,3.27B,2.79B,2.9B,3B,3.22B,3.16B,
United Arab Emirates,,,,,,,,,,,,,,,,14.7B,19.2B,24.9B,23.8B,31.2B,43.6B,49.3B,46.6B,42.8B,41.8B,40.6B,33.9B,36.4B,36.3B,41.5B,50.7B,51.6B,54.2B,55.6B,59.3B,65.7B,73.6B,78.8B,75.7B,84.4B,104B,103B,110B,124B,148B,181B,222B,258B,315B,254B,290B,351B,375B,390B,403B,358B,357B,386B,422B,417B,359B
Argentina,,,24.5B,18.3B,25.6B,28.3B,28.6B,24.3B,26.4B,31.3B,31.6B,33.3B,34.7B,52.5B,72.4B,52.4B,51.2B,56.8B,58.1B,69.3B,77B,78.7B,84.3B,104B,79.1B,88.4B,111B,111B,126B,76.6B,141B,190B,229B,237B,257B,258B,272B,293B,299B,284B,284B,269B,97.7B,128B,165B,199B,233B,288B,362B,333B,424B,530B,546B,552B,526B,595B,558B,644B,525B,452B,389B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26B,2.07B,1.27B,1.2B,1.32B,1.47B,1.6B,1.64B,1.89B,1.85B,1.91B,2.12B,2.38B,2.81B,3.58B,4.9B,6.38B,9.21B,11.7B,8.65B,9.26B,10.1B,10.6B,11.1B,11.6B,10.6B,10.5B,11.5B,12.5B,13.6B,12.6B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512M,524M,509M,500M,493M,518M,560M,675M,573M,570M,640M,638M,643M,673M,671M,612M,639M,648M,709M
Antigua and Barbuda,,,,,,,,,,,,,,,,,,77.5M,87.9M,109M,131M,148M,164M,182M,208M,241M,290M,337M,399M,439M,459M,482M,499M,535M,589M,577M,634M,681M,728M,766M,826M,800M,814M,856M,920M,1.02B,1.16B,1.31B,1.37B,1.23B,1.15B,1.14B,1.2B,1.18B,1.25B,1.34B,1.44B,1.47B,1.61B,1.69B,1.37B
Australia,18.6B,19.7B,19.9B,21.5B,23.8B,26B,27.3B,30.4B,32.7B,36.7B,41.3B,45.2B,52.1B,63.8B,89B,97.3B,105B,110B,119B,135B,150B,177B,194B,177B,194B,181B,182B,189B,236B,300B,311B,326B,325B,312B,323B,368B,401B,435B,399B,389B,416B,379B,395B,467B,614B,695B,748B,854B,1.06TR,928B,1.15TR,1.4TR,1.55TR,1.58TR,1.47TR,1.35TR,1.21TR,1.33TR,1.43TR,1.39TR,1.33TR
Austria,6.59B,7.31B,7.76B,8.37B,9.17B,9.99B,10.9B,11.6B,12.4B,13.6B,15.4B,17.9B,22.1B,29.5B,35.2B,40.1B,43B,51.5B,62.1B,73.9B,82.1B,71B,71.3B,72.1B,68B,69.4B,99B,124B,133B,133B,166B,174B,195B,190B,204B,241B,237B,213B,218B,217B,197B,198B,214B,262B,301B,316B,336B,389B,432B,402B,392B,432B,409B,430B,443B,382B,396B,417B,455B,445B,433B
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446M,1.57B,1.19B,2.42B,3.18B,3.96B,4.45B,4.58B,5.27B,5.71B,6.24B,7.28B,8.68B,13.2B,21B,33.1B,48.9B,44.3B,52.9B,66B,69.7B,74.2B,75.2B,53.1B,37.9B,40.9B,47.1B,48.2B,42.6B
Burundi,196M,203M,214M,233M,261M,159M,165M,178M,183M,190M,243M,253M,247M,304M,345M,421M,448M,548M,610M,782M,920M,969M,1.01B,1.08B,987M,1.15B,1.2B,1.13B,1.08B,1.11B,1.13B,1.17B,1.08B,939M,925M,1B,869M,973M,894M,808M,870M,877M,825M,785M,915M,1.12B,1.27B,1.36B,1.61B,1.78B,2.03B,2.24B,2.33B,2.45B,2.71B,3.1B,2.73B,2.75B,2.67B,2.63B,2.84B
Belgium,11.7B,12.4B,13.3B,14.3B,16B,17.4B,18.7B,20B,21.4B,23.7B,26.7B,29.8B,37.2B,47.7B,56B,65.7B,71.1B,82.8B,101B,116B,127B,105B,92.1B,87.2B,83.3B,86.3B,120B,149B,162B,164B,205B,211B,235B,225B,245B,288B,279B,253B,259B,258B,237B,237B,258B,318B,369B,386B,408B,471B,517B,483B,481B,523B,496B,522B,535B,462B,476B,503B,543B,535B,522B
Benin,226M,236M,236M,254M,270M,290M,303M,306M,326M,331M,334M,335M,410M,504M,555M,677M,698M,750M,929M,1.19B,1.41B,1.29B,1.27B,1.1B,1.05B,1.05B,1.34B,1.56B,1.62B,1.5B,1.96B,1.99B,1.7B,2.27B,1.6B,2.17B,2.36B,2.27B,2.46B,3.68B,3.52B,3.67B,4.19B,5.35B,6.19B,6.57B,7.03B,8.17B,9.79B,9.74B,9.54B,10.7B,11.1B,12.5B,13.3B,11.4B,11.8B,12.7B,14.3B,14.4B,15.7B
