country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,4,7,7,7,7,6,7,7,7,7,,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5
Angola,,,,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Albania,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,4,4,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Andorra,4,4,4,4,4,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,7,6,6,6,5,5,5,5,5,5,,5,5,5,5,5,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
Argentina,6,2,2,2,6,6,6,6,6,6,,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Armenia,,,,,,,,,,,,,,,,,,,,5,4,3,3,4,5,5,4,4,4,4,4,4,5,5,5,5,6,6,6,6,5,5,5,5,5,5,4,4,4
Antigua and Barbuda,,,,,,,,,,2,,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
Australia,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Burundi,7,7,7,7,7,7,7,7,7,7,,6,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,6,6,6,6,5,5,3,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7
Belgium,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
Burkina Faso,3,3,6,6,5,5,2,2,6,6,,6,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4
Bangladesh,2,4,4,7,7,6,4,3,3,5,,6,6,5,4,4,4,4,5,2,2,2,2,3,2,2,2,3,3,3,4,4,4,4,4,5,4,3,3,3,3,3,4,4,4,4,5,5,5
Bulgaria,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Bahrain,6,6,4,6,6,6,6,5,5,5,,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,6,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7
Bahamas,,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4
Belarus,,,,,,,,,,,,,,,,,,,,4,4,5,4,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
Belize,,,,,,,,,,1,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Bolivia,5,5,6,6,6,6,5,3,7,7,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Brazil,5,5,4,4,4,4,4,4,4,4,,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Barbados,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei,6,6,6,6,6,,,,,,,,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bhutan,4,4,4,4,4,4,5,5,5,5,,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,2
Botswana,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Central African Republic,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,6,6,6,6,6,6,3,3,3,3,3,3,3,3,5,5,7,6,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
Canada,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,1,7,7,7,7,7,6,6,6,6,,6,6,6,6,6,5,4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cote d'Ivoire,6,6,6,6,6,6,6,6,5,5,,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,6,6,7,6,5,5,5,4,4,4,4,4,5
Cameroon,6,6,6,6,7,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo, Dem. Rep.",7,7,7,7,7,6,6,6,6,6,,6,6,7,7,6,6,7,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7
"Congo, Rep.",7,5,5,5,5,7,7,7,7,7,,7,7,7,7,7,7,7,6,6,3,3,4,4,4,7,7,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Colombia,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,3,2,2,2,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Comoros,,,,5,5,4,5,4,4,4,,4,5,6,6,6,6,6,5,4,4,4,4,4,4,5,5,6,6,6,5,5,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,5
Cape Verde,,,,5,6,6,6,6,6,6,,6,6,6,6,5,5,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cyprus,2,2,4,4,3,3,3,3,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,,,,,,3,3,3,3,5,,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7
Dominica,,,,,,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
